Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,24.78135153307854,24.78135153307854,24.65806122694382,24.76373863220215,1003200.0,0.0,0.0,0.0
1993-02-01,24.78135849661746,24.93987464904785,24.78135849661746,24.93987464904785,480500.0,0.0,0.0,0.0
1993-02-02,24.922254695448764,25.010319199672963,24.86941599291424,24.992706298828125,201300.0,0.0,0.0,0.0
1993-02-03,25.027931177466485,25.274511780200147,25.010318277271224,25.256898880004883,529400.0,0.0,0.0,0.0
1993-02-04,25.344960725307466,25.415412318706515,25.063154351711276,25.362573623657227,531500.0,0.0,0.0,0.0
1993-02-05,25.34494972229004,25.397788394400443,25.204046596662298,25.34494972229004,492100.0,0.0,0.0,0.0
1993-02-08,25.34494972229004,25.43301417580738,25.309723940883103,25.34494972229004,596100.0,0.0,0.0,0.0
1993-02-09,25.256895360285956,25.256895360285956,25.115992178359676,25.16883087158203,122100.0,0.0,0.0,0.0
1993-02-10,25.168831896565326,25.221670591939503,25.098380302733094,25.204057693481445,379600.0,0.0,0.0,0.0
1993-02-11,25.23928991644041,25.433031848806664,25.23928991644041,25.327354431152344,19500.0,0.0,0.0,0.0
1993-02-12,25.292129719766937,25.292129719766937,25.13361358642578,25.13361358642578,42500.0,0.0,0.0,0.0
1993-02-16,25.063153046828052,25.063153046828052,24.464314534113957,24.499540328979492,374800.0,0.0,0.0,0.0
1993-02-17,24.499540769453528,24.534766564952385,24.393863382956965,24.4819278717041,210900.0,0.0,0.0,0.0
1993-02-18,24.763736612252657,24.763736612252657,24.129672232422575,24.464317321777344,378100.0,0.0,0.0,0.0
1993-02-19,24.46430941736339,24.5523738861084,24.429083629865385,24.5523738861084,34900.0,0.0,0.0,0.0
1993-02-22,24.622819468325762,24.675658136712727,24.552367910476477,24.640432357788086,513600.0,0.0,0.0,0.0
1993-02-23,24.710893920221725,24.728506816814896,24.499539161103648,24.62282943725586,373700.0,0.0,0.0,0.0
1993-02-24,24.64045525001267,24.93987464904785,24.64045525001267,24.93987464904785,26300.0,0.0,0.0,0.0
1993-02-25,24.922254695448764,25.010319199672963,24.86941599291424,24.992706298828125,44500.0,0.0,0.0,0.0
1993-02-26,25.045553657053894,25.045553657053894,24.904650401599298,25.02794075012207,66200.0,0.0,0.0,0.0
1993-03-01,25.115991739126354,25.115991739126354,24.92224986736591,24.957475662231445,66500.0,0.0,0.0,0.0
1993-03-02,24.975096372304606,25.327354431152344,24.93987056641983,25.327354431152344,182400.0,0.0,0.0,0.0
1993-03-03,25.362577570442348,25.45064207589527,25.327351768261178,25.433029174804688,280100.0,0.0,0.0,0.0
1993-03-04,25.46826623475651,25.46826623475651,25.29213714599609,25.292137145996094,89500.0,0.0,0.0,0.0
1993-03-05,25.327339878295387,25.43301723522847,25.204049628540126,25.221662521362305,40000.0,0.0,0.0,0.0
1993-03-08,25.274517451479138,25.78529167175293,25.274517451479138,25.78529167175293,50800.0,0.0,0.0,0.0
1993-03-09,25.732443736954203,25.750056634789217,25.64437924777914,25.69721794128418,169300.0,0.0,0.0,0.0
1993-03-10,25.69723375323044,25.750072479248047,25.59155630119522,25.750072479248047,194400.0,0.0,0.0,0.0
1993-03-11,25.767683371921954,25.83813500110014,25.644393020860125,25.67961883544922,70900.0,0.0,0.0,0.0
1993-03-12,25.468255421723747,25.485868323121895,25.256900604945955,25.415416717529297,643600.0,0.0,0.0,0.0
1993-03-15,25.397796930773506,25.53870010375977,25.397796930773506,25.538700103759766,310800.0,0.0,0.0,0.0
1993-03-16,25.53870010375977,25.609151690252897,25.53870010375977,25.538700103759766,30800.0,0.0,0.0,0.0
1993-03-17,25.503489783536555,25.503489783536555,25.344973617754903,25.380199432373047,21800.0,0.0,0.0,0.0
1993-03-18,25.48586141388992,25.644377483499465,25.48586141388992,25.538700103759766,59300.0,0.0,0.0,0.0
1993-03-19,25.641633565189277,25.641633565189277,25.50006484985352,25.500064849853516,66900.0,0.213,0.0,0.0
1993-03-22,25.25230588200869,25.411570600255416,25.2346098022035,25.358482360839844,183400.0,0.0,0.0,0.0
1993-03-23,25.42929239591848,25.44698849361919,25.376204102816356,25.411596298217773,55200.0,0.0,0.0,0.0
1993-03-24,25.376204102816356,25.517772884422026,25.252331418911396,25.411596298217773,37200.0,0.0,0.0,0.0
